trip_id,origin_area,destination_area,route_1_name,route_1_dist_km,route_1_base_time_min,route_1_hotspot,route_1_clearance_delay_min,route_1_total_time_min,route_2_name,route_2_dist_km,route_2_base_time_min,route_2_hotspot,route_2_clearance_delay_min,route_2_total_time_min,recommended_route,time_saved_min,highlighted_heavy_traffic_area,actionable_recommendation
TRIP-027,Hebbal,MG Road,via Bellary Road,13.9,44.3,Mekhri Circle,11.3,55.6,via JC Nagar Main Rd,16,35.1,Cantonment Station,18.3,53.4,via JC Nagar Main Rd,2.2,Mekhri Circle (via Bellary Road),Take via JC Nagar Main Rd (2.2 mins faster). Avoid Mekhri Circle due to clearance backlog.
TRIP-028,HSR Layout,Manyata Tech Park,via Outer Ring Road,15.1,40.3,Tin Factory,20.9,61.2,via Old Airport Rd & Suranjandas Rd,18.3,51,Kasturi Nagar,21.1,72.1,via Outer Ring Road,10.9,Kasturi Nagar (via Old Airport Rd & Suranjandas Rd),Take via Outer Ring Road (10.9 mins faster). Heavy clearance delay at Kasturi Nagar.
TRIP-029,Jayanagar,ITPL,via Silk Board & ORR,22.9,54.7,Silk Board Junction,15.3,70,via Domlur & HAL,25.5,51.8,Domlur Flyover,15.1,66.9,via Domlur & HAL,3.1,Silk Board Junction (via Silk Board & ORR),Take via Domlur & HAL (3.1 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-030,Banashankari,Rajajinagar,via West of Chord Rd,21.2,54,Kanankapura Signal,13.9,67.9,via Mysore Road & Magadi Rd,25.7,53.4,Town Hall,14.3,67.7,via Mysore Road & Magadi Rd,0.2,Kanankapura Signal (via West of Chord Rd),Take via Mysore Road & Magadi Rd (0.2 mins faster). Avoid Kanankapura Signal due to clearance backlog.
TRIP-031,BTM Layout,Yelahanka,via Hebbal Expressway,24.2,61.5,Hebbal Flyover,19.7,81.2,via Outer Ring Road West,26.1,54.6,Goraguntepalya,20.5,75.1,via Outer Ring Road West,6.1,Hebbal Flyover (via Hebbal Expressway),Take via Outer Ring Road West (6.1 mins faster). Avoid Hebbal Flyover due to clearance backlog.
TRIP-032,Marathahalli,Kengeri,via Mysore Road Expressway,15,47.7,Nayandahalli,20.2,67.9,via NICE Road,16.3,39.3,NICE Junction,20.1,59.4,via NICE Road,8.5,Nayandahalli (via Mysore Road Expressway),Take via NICE Road (8.5 mins faster). Avoid Nayandahalli due to clearance backlog.
TRIP-033,Koramangala,Whitefield,via Marathahalli ORR,25,69,Marathahalli Multiplex,15.9,84.9,via Varthur Road,31.1,84.2,HAL Airport Road,20.5,104.7,via Marathahalli ORR,19.8,HAL Airport Road (via Varthur Road),Take via Marathahalli ORR (19.8 mins faster). Heavy clearance delay at HAL Airport Road.
TRIP-034,Indiranagar,Electronic City,via Hosur Road Flyover,21.1,64.5,Silk Board Junction,18,82.5,via Bannerghatta Road,25.7,59.7,Madiwala Market,12.2,71.9,via Bannerghatta Road,10.6,Silk Board Junction (via Hosur Road Flyover),Take via Bannerghatta Road (10.6 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-035,Hebbal,MG Road,via Bellary Road,24.2,69.4,Mekhri Circle,17.8,87.2,via JC Nagar Main Rd,29.2,72,Cantonment Station,20.5,92.5,via Bellary Road,5.3,Cantonment Station (via JC Nagar Main Rd),Take via Bellary Road (5.3 mins faster). Heavy clearance delay at Cantonment Station.
TRIP-036,HSR Layout,Manyata Tech Park,via Outer Ring Road,24.7,61.9,Tin Factory,11.3,73.2,via Old Airport Rd & Suranjandas Rd,27.3,65.2,Kasturi Nagar,28,93.2,via Outer Ring Road,20,Kasturi Nagar (via Old Airport Rd & Suranjandas Rd),Take via Outer Ring Road (20.0 mins faster). Heavy clearance delay at Kasturi Nagar.
TRIP-037,Jayanagar,ITPL,via Silk Board & ORR,18.4,47.2,Silk Board Junction,16.7,63.9,via Domlur & HAL,20,51.9,Domlur Flyover,13.9,65.8,via Silk Board & ORR,1.9,Domlur Flyover (via Domlur & HAL),Take via Silk Board & ORR (1.9 mins faster). Heavy clearance delay at Domlur Flyover.
TRIP-038,Banashankari,Rajajinagar,via West of Chord Rd,19.4,49.8,Kanankapura Signal,18.3,68.1,via Mysore Road & Magadi Rd,20.7,45.8,Town Hall,20.4,66.2,via Mysore Road & Magadi Rd,1.9,Kanankapura Signal (via West of Chord Rd),Take via Mysore Road & Magadi Rd (1.9 mins faster). Avoid Kanankapura Signal due to clearance backlog.
TRIP-039,BTM Layout,Yelahanka,via Hebbal Expressway,18.3,48.2,Hebbal Flyover,23.7,71.9,via Outer Ring Road West,22.5,51.3,Goraguntepalya,23.7,75,via Hebbal Expressway,3.1,Goraguntepalya (via Outer Ring Road West),Take via Hebbal Expressway (3.1 mins faster). Heavy clearance delay at Goraguntepalya.
TRIP-040,Marathahalli,Kengeri,via Mysore Road Expressway,20.7,50.3,Nayandahalli,22.9,73.2,via NICE Road,25.3,60.7,NICE Junction,15.8,76.5,via Mysore Road Expressway,3.3,NICE Junction (via NICE Road),Take via Mysore Road Expressway (3.3 mins faster). Heavy clearance delay at NICE Junction.
TRIP-041,Koramangala,Whitefield,via Marathahalli ORR,22,70.3,Marathahalli Multiplex,20.5,90.8,via Varthur Road,23.3,55.4,HAL Airport Road,15.7,71.1,via Varthur Road,19.7,Marathahalli Multiplex (via Marathahalli ORR),Take via Varthur Road (19.7 mins faster). Avoid Marathahalli Multiplex due to clearance backlog.
TRIP-042,Indiranagar,Electronic City,via Hosur Road Flyover,23.5,74.1,Silk Board Junction,20.5,94.6,via Bannerghatta Road,28.2,63.9,Madiwala Market,17.3,81.2,via Bannerghatta Road,13.4,Silk Board Junction (via Hosur Road Flyover),Take via Bannerghatta Road (13.4 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-043,Hebbal,MG Road,via Bellary Road,24.5,61.1,Mekhri Circle,16.4,77.5,via JC Nagar Main Rd,29.9,69,Cantonment Station,13.9,82.9,via Bellary Road,5.4,Cantonment Station (via JC Nagar Main Rd),Take via Bellary Road (5.4 mins faster). Heavy clearance delay at Cantonment Station.
TRIP-044,HSR Layout,Manyata Tech Park,via Outer Ring Road,16.8,51.1,Tin Factory,11.1,62.2,via Old Airport Rd & Suranjandas Rd,19,52.1,Kasturi Nagar,16.2,68.3,via Outer Ring Road,6.1,Kasturi Nagar (via Old Airport Rd & Suranjandas Rd),Take via Outer Ring Road (6.1 mins faster). Heavy clearance delay at Kasturi Nagar.
TRIP-045,Jayanagar,ITPL,via Silk Board & ORR,20,46.8,Silk Board Junction,16.9,63.7,via Domlur & HAL,25,60.4,Domlur Flyover,19.1,79.5,via Silk Board & ORR,15.8,Domlur Flyover (via Domlur & HAL),Take via Silk Board & ORR (15.8 mins faster). Heavy clearance delay at Domlur Flyover.
TRIP-046,Banashankari,Rajajinagar,via West of Chord Rd,23,66.9,Kanankapura Signal,4.2,71.1,via Mysore Road & Magadi Rd,24.8,60.6,Town Hall,20.5,81.1,via West of Chord Rd,10,Town Hall (via Mysore Road & Magadi Rd),Take via West of Chord Rd (10.0 mins faster). Heavy clearance delay at Town Hall.
TRIP-047,BTM Layout,Yelahanka,via Hebbal Expressway,15.3,34.9,Hebbal Flyover,5.7,40.6,via Outer Ring Road West,17.9,35.9,Goraguntepalya,5.6,41.5,via Hebbal Expressway,0.9,Goraguntepalya (via Outer Ring Road West),Take via Hebbal Expressway (0.9 mins faster). Heavy clearance delay at Goraguntepalya.
TRIP-048,Marathahalli,Kengeri,via Mysore Road Expressway,20.4,61.1,Nayandahalli,15.9,77,via NICE Road,24.3,65.9,NICE Junction,21.8,87.7,via Mysore Road Expressway,10.7,NICE Junction (via NICE Road),Take via Mysore Road Expressway (10.7 mins faster). Heavy clearance delay at NICE Junction.
TRIP-049,Koramangala,Whitefield,via Marathahalli ORR,19.5,56,Marathahalli Multiplex,20.9,76.9,via Varthur Road,22.2,50.2,HAL Airport Road,17.3,67.5,via Varthur Road,9.4,Marathahalli Multiplex (via Marathahalli ORR),Take via Varthur Road (9.4 mins faster). Avoid Marathahalli Multiplex due to clearance backlog.
TRIP-050,Indiranagar,Electronic City,via Hosur Road Flyover,22.9,56.1,Silk Board Junction,11.9,68,via Bannerghatta Road,28,56.9,Madiwala Market,19.4,76.3,via Hosur Road Flyover,8.3,Madiwala Market (via Bannerghatta Road),Take via Hosur Road Flyover (8.3 mins faster). Heavy clearance delay at Madiwala Market.
TRIP-051,Hebbal,MG Road,via Bellary Road,19,57.5,Mekhri Circle,18.6,76.1,via JC Nagar Main Rd,21.2,47,Cantonment Station,15.5,62.5,via JC Nagar Main Rd,13.6,Mekhri Circle (via Bellary Road),Take via JC Nagar Main Rd (13.6 mins faster). Avoid Mekhri Circle due to clearance backlog.
TRIP-052,HSR Layout,Manyata Tech Park,via Outer Ring Road,17.9,42.9,Tin Factory,20.5,63.4,via Old Airport Rd & Suranjandas Rd,21.8,50.8,Kasturi Nagar,16,66.8,via Outer Ring Road,3.4,Kasturi Nagar (via Old Airport Rd & Suranjandas Rd),Take via Outer Ring Road (3.4 mins faster). Heavy clearance delay at Kasturi Nagar.
TRIP-053,Jayanagar,ITPL,via Silk Board & ORR,13.8,43.7,Silk Board Junction,15.1,58.8,via Domlur & HAL,14.9,38.3,Domlur Flyover,16.7,55,via Domlur & HAL,3.8,Silk Board Junction (via Silk Board & ORR),Take via Domlur & HAL (3.8 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-054,Banashankari,Rajajinagar,via West of Chord Rd,17.2,50.6,Kanankapura Signal,15.7,66.3,via Mysore Road & Magadi Rd,19.6,43.1,Town Hall,16.1,59.2,via Mysore Road & Magadi Rd,7.1,Kanankapura Signal (via West of Chord Rd),Take via Mysore Road & Magadi Rd (7.1 mins faster). Avoid Kanankapura Signal due to clearance backlog.
TRIP-055,BTM Layout,Yelahanka,via Hebbal Expressway,22.9,59.7,Hebbal Flyover,22.1,81.8,via Outer Ring Road West,27.2,58.2,Goraguntepalya,7.4,65.6,via Outer Ring Road West,16.2,Hebbal Flyover (via Hebbal Expressway),Take via Outer Ring Road West (16.2 mins faster). Avoid Hebbal Flyover due to clearance backlog.
TRIP-056,Marathahalli,Kengeri,via Mysore Road Expressway,15.1,36,Nayandahalli,19.6,55.6,via NICE Road,16.1,44.2,NICE Junction,2.4,46.6,via NICE Road,9,Nayandahalli (via Mysore Road Expressway),Take via NICE Road (9.0 mins faster). Avoid Nayandahalli due to clearance backlog.
TRIP-057,Koramangala,Whitefield,via Marathahalli ORR,18.7,49.3,Marathahalli Multiplex,18.2,67.5,via Varthur Road,22.1,57.1,HAL Airport Road,21.1,78.2,via Marathahalli ORR,10.7,HAL Airport Road (via Varthur Road),Take via Marathahalli ORR (10.7 mins faster). Heavy clearance delay at HAL Airport Road.
TRIP-058,Indiranagar,Electronic City,via Hosur Road Flyover,14.1,35.8,Silk Board Junction,24,59.8,via Bannerghatta Road,15.1,31.3,Madiwala Market,15.2,46.5,via Bannerghatta Road,13.3,Silk Board Junction (via Hosur Road Flyover),Take via Bannerghatta Road (13.3 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-059,Hebbal,MG Road,via Bellary Road,23.1,61.8,Mekhri Circle,22.6,84.4,via JC Nagar Main Rd,27.5,57.2,Cantonment Station,14.3,71.5,via JC Nagar Main Rd,12.9,Mekhri Circle (via Bellary Road),Take via JC Nagar Main Rd (12.9 mins faster). Avoid Mekhri Circle due to clearance backlog.
TRIP-060,HSR Layout,Manyata Tech Park,via Outer Ring Road,16.5,47,Tin Factory,17.5,64.5,via Old Airport Rd & Suranjandas Rd,18.9,38.5,Kasturi Nagar,17.2,55.7,via Old Airport Rd & Suranjandas Rd,8.8,Tin Factory (via Outer Ring Road),Take via Old Airport Rd & Suranjandas Rd (8.8 mins faster). Avoid Tin Factory due to clearance backlog.
TRIP-061,Jayanagar,ITPL,via Silk Board & ORR,12.6,35.6,Silk Board Junction,22.1,57.7,via Domlur & HAL,14.2,34.1,Domlur Flyover,17.5,51.6,via Domlur & HAL,6.1,Silk Board Junction (via Silk Board & ORR),Take via Domlur & HAL (6.1 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-062,Banashankari,Rajajinagar,via West of Chord Rd,20.9,65.7,Kanankapura Signal,13.9,79.6,via Mysore Road & Magadi Rd,24.5,67.5,Town Hall,14.5,82,via West of Chord Rd,2.4,Town Hall (via Mysore Road & Magadi Rd),Take via West of Chord Rd (2.4 mins faster). Heavy clearance delay at Town Hall.
TRIP-063,BTM Layout,Yelahanka,via Hebbal Expressway,19.5,55.4,Hebbal Flyover,25.2,80.6,via Outer Ring Road West,22,52.1,Goraguntepalya,21,73.1,via Outer Ring Road West,7.5,Hebbal Flyover (via Hebbal Expressway),Take via Outer Ring Road West (7.5 mins faster). Avoid Hebbal Flyover due to clearance backlog.
TRIP-064,Marathahalli,Kengeri,via Mysore Road Expressway,17,52.8,Nayandahalli,10.1,62.9,via NICE Road,21.1,45.5,NICE Junction,21,66.5,via Mysore Road Expressway,3.6,NICE Junction (via NICE Road),Take via Mysore Road Expressway (3.6 mins faster). Heavy clearance delay at NICE Junction.
TRIP-065,Koramangala,Whitefield,via Marathahalli ORR,13.3,30.5,Marathahalli Multiplex,15.8,46.3,via Varthur Road,14,35.6,HAL Airport Road,16.2,51.8,via Marathahalli ORR,5.5,HAL Airport Road (via Varthur Road),Take via Marathahalli ORR (5.5 mins faster). Heavy clearance delay at HAL Airport Road.
TRIP-066,Indiranagar,Electronic City,via Hosur Road Flyover,16.1,35.8,Silk Board Junction,19.7,55.5,via Bannerghatta Road,19.6,52,Madiwala Market,19.9,71.9,via Hosur Road Flyover,16.4,Madiwala Market (via Bannerghatta Road),Take via Hosur Road Flyover (16.4 mins faster). Heavy clearance delay at Madiwala Market.
TRIP-067,Hebbal,MG Road,via Bellary Road,13.5,38.2,Mekhri Circle,13.6,51.8,via JC Nagar Main Rd,16.1,43.5,Cantonment Station,18,61.5,via Bellary Road,9.7,Cantonment Station (via JC Nagar Main Rd),Take via Bellary Road (9.7 mins faster). Heavy clearance delay at Cantonment Station.
TRIP-068,HSR Layout,Manyata Tech Park,via Outer Ring Road,17.5,48.6,Tin Factory,5.7,54.3,via Old Airport Rd & Suranjandas Rd,20.4,52.7,Kasturi Nagar,17,69.7,via Outer Ring Road,15.4,Kasturi Nagar (via Old Airport Rd & Suranjandas Rd),Take via Outer Ring Road (15.4 mins faster). Heavy clearance delay at Kasturi Nagar.
TRIP-069,Jayanagar,ITPL,via Silk Board & ORR,16.4,50.2,Silk Board Junction,22.3,72.5,via Domlur & HAL,20.3,47.6,Domlur Flyover,19.6,67.2,via Domlur & HAL,5.3,Silk Board Junction (via Silk Board & ORR),Take via Domlur & HAL (5.3 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-070,Banashankari,Rajajinagar,via West of Chord Rd,21.8,67.6,Kanankapura Signal,17.8,85.4,via Mysore Road & Magadi Rd,23.3,56,Town Hall,18.3,74.3,via Mysore Road & Magadi Rd,11.1,Kanankapura Signal (via West of Chord Rd),Take via Mysore Road & Magadi Rd (11.1 mins faster). Avoid Kanankapura Signal due to clearance backlog.
TRIP-071,BTM Layout,Yelahanka,via Hebbal Expressway,15.9,35.8,Hebbal Flyover,15.1,50.9,via Outer Ring Road West,17,47,Goraguntepalya,18.2,65.2,via Hebbal Expressway,14.3,Goraguntepalya (via Outer Ring Road West),Take via Hebbal Expressway (14.3 mins faster). Heavy clearance delay at Goraguntepalya.
TRIP-072,Marathahalli,Kengeri,via Mysore Road Expressway,16.6,47.8,Nayandahalli,20.4,68.2,via NICE Road,20.6,49.2,NICE Junction,21.1,70.3,via Mysore Road Expressway,2.1,NICE Junction (via NICE Road),Take via Mysore Road Expressway (2.1 mins faster). Heavy clearance delay at NICE Junction.
TRIP-073,Koramangala,Whitefield,via Marathahalli ORR,17.8,45,Marathahalli Multiplex,17.9,62.9,via Varthur Road,19.7,50,HAL Airport Road,21.1,71.1,via Marathahalli ORR,8.2,HAL Airport Road (via Varthur Road),Take via Marathahalli ORR (8.2 mins faster). Heavy clearance delay at HAL Airport Road.
TRIP-074,Indiranagar,Electronic City,via Hosur Road Flyover,22.3,60.1,Silk Board Junction,16.6,76.7,via Bannerghatta Road,23.8,48.7,Madiwala Market,11.1,59.8,via Bannerghatta Road,16.9,Silk Board Junction (via Hosur Road Flyover),Take via Bannerghatta Road (16.9 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-075,Hebbal,MG Road,via Bellary Road,21.6,62.8,Mekhri Circle,15.9,78.7,via JC Nagar Main Rd,25,69.4,Cantonment Station,20.6,90,via Bellary Road,11.3,Cantonment Station (via JC Nagar Main Rd),Take via Bellary Road (11.3 mins faster). Heavy clearance delay at Cantonment Station.
TRIP-076,HSR Layout,Manyata Tech Park,via Outer Ring Road,22.9,69.6,Tin Factory,20.7,90.3,via Old Airport Rd & Suranjandas Rd,28,65.5,Kasturi Nagar,11.2,76.7,via Old Airport Rd & Suranjandas Rd,13.6,Tin Factory (via Outer Ring Road),Take via Old Airport Rd & Suranjandas Rd (13.6 mins faster). Avoid Tin Factory due to clearance backlog.
TRIP-077,Jayanagar,ITPL,via Silk Board & ORR,21.2,48.4,Silk Board Junction,20.4,68.8,via Domlur & HAL,22.6,63,Domlur Flyover,16.2,79.2,via Silk Board & ORR,10.4,Domlur Flyover (via Domlur & HAL),Take via Silk Board & ORR (10.4 mins faster). Heavy clearance delay at Domlur Flyover.
TRIP-078,Banashankari,Rajajinagar,via West of Chord Rd,23.4,72.7,Kanankapura Signal,5.7,78.4,via Mysore Road & Magadi Rd,25.7,63.6,Town Hall,18.1,81.7,via West of Chord Rd,3.3,Town Hall (via Mysore Road & Magadi Rd),Take via West of Chord Rd (3.3 mins faster). Heavy clearance delay at Town Hall.
TRIP-079,BTM Layout,Yelahanka,via Hebbal Expressway,21.2,54.7,Hebbal Flyover,16.2,70.9,via Outer Ring Road West,24.3,62.3,Goraguntepalya,27.9,90.2,via Hebbal Expressway,19.3,Goraguntepalya (via Outer Ring Road West),Take via Hebbal Expressway (19.3 mins faster). Heavy clearance delay at Goraguntepalya.
TRIP-080,Marathahalli,Kengeri,via Mysore Road Expressway,13.4,29.6,Nayandahalli,20.2,49.8,via NICE Road,15.4,36.6,NICE Junction,15.3,51.9,via Mysore Road Expressway,2.1,NICE Junction (via NICE Road),Take via Mysore Road Expressway (2.1 mins faster). Heavy clearance delay at NICE Junction.
